,DateTime,Severity,EpochTime,ErrorType,Service,EndPoint,DataVal1,DataVal2,Content,UUID,EventId,EventTemplate
5581,2024-11-26 04:53:18.237,info,1732596798237,SVC_USER_REQ_DELAY,apigateway,/userslist,141,,Fetching users list took longer than expected (max=100ms): 141 ms,d6f07a2c-9878-45ec-a013-b8140243218b,E9,Fetching users list took longer than expected <*> <*> ms
5582,2024-11-26 04:53:18.243,info,1732596798243,OK,product-service,list,1,,Products fetched with success in 1 ms,7cde983c-2f89-4ad6-8318-45778db47939,E3,Products fetched with success in <*> ms
5583,2024-11-26 04:53:17.596,info,1732596797596,OK,admin-service,/product,2,,Products listed successfully from product-service in 2 ms,22922860-7da4-448e-94fb-c4458512139f,E4,Products listed successfully from product-service in <*> ms
5584,2024-11-26 04:53:17.598,info,1732596797598,OK,purchase-service,list,0,,Purchases list fetched successfully from postgres database in 0 ms,59291535-2472-4fdd-a4c8-141ebdc87e8f,E2,Purchases list fetched successfully from postgres database in <*> ms
5585,2024-11-26 04:53:18.250,info,1732596798250,OK,purchase-service,list,0,,Purchases list fetched successfully from postgres database in 0 ms,7cbd40c0-8d2e-4c2f-ab94-0a43c8b7cd66,E2,Purchases list fetched successfully from postgres database in <*> ms
5586,2024-11-26 04:53:17.947,info,1732596797947,OK,admin-service,/purchase,350,,Purchases listed successfully from purchase-service in 350 ms,9f68ffdb-52f6-4332-b341-f6c282550498,E5,Purchases listed successfully from purchase-service in <*> ms
5587,2024-11-26 04:53:18.092,info,1732596798092,OK,admin-service,/user,136,,Users listed successfully from user-service in 136 ms,f0eff89c-fdb1-4d0b-be6f-68825dc18a32,E6,Users listed successfully from user-service in <*> ms
5588,2024-11-26 04:53:18.098,info,1732596798098,OK,user-service,list,1,,Users queried with success in 1ms,d6f07a2c-9878-45ec-a013-b8140243218b,E1,Users queried with success in <*>
5589,2024-11-26 04:53:17.958,info,1732596797958,OK,user-service,list,1,,Users queried with success in 1ms,a14f22d3-0b75-41b9-985d-a0f35a70aafb,E1,Users queried with success in <*>
5590,2024-11-26 04:53:17.595,info,1732596797595,OK,product-service,list,1,,Products fetched with success in 1 ms,6996fee4-a316-4969-ae5b-e7b4c049e498,E3,Products fetched with success in <*> ms
5591,2024-11-26 04:53:18.246,info,1732596798246,OK,admin-service,/product,5,,Products listed successfully from product-service in 5 ms,034a9d6c-5573-4b1d-a90f-4cb0984e9ef7,E4,Products listed successfully from product-service in <*> ms
5592,2024-11-26 04:53:18.581,info,1732596798581,OK,admin-service,/purchase,333,,Purchases listed successfully from purchase-service in 333 ms,58c89def-6a0a-4ab0-b342-a6c3d744d6c5,E5,Purchases listed successfully from purchase-service in <*> ms
5593,2024-11-26 04:53:18.882,info,1732596798882,SVC_USER_REQ_DELAY,apigateway,/userslist,153,,Fetching users list took longer than expected (max=100ms): 153 ms,42d72276-fc38-4612-bfde-a1217c929969,E9,Fetching users list took longer than expected <*> <*> ms
5594,2024-11-26 04:53:19.516,info,1732596799516,OK,product-service,list,1,,Products fetched with success in 1 ms,5ed36603-e14c-429a-94fa-c8a3fcb86a91,E3,Products fetched with success in <*> ms
5595,2024-11-26 04:53:18.725,info,1732596798725,OK,admin-service,/user,136,,Users listed successfully from user-service in 136 ms,6ea19d78-22c5-4a7e-8433-ccea8533719b,E6,Users listed successfully from user-service in <*> ms
5596,2024-11-26 04:53:18.889,info,1732596798889,OK,admin-service,/product,2,,Products listed successfully from product-service in 2 ms,ee882202-528b-4ece-b3a9-712f7d8ab3c0,E4,Products listed successfully from product-service in <*> ms
