,Date,Time,Severity,EpochTime,ErrorType,Service,EndPoint,DataVal1,DataVal2,Content,EventId,EventTemplate
37,2024-11-15,07:22:11.036,info,1731698531036,OK,apigateway,/userslist,9,,Users list fetched successfully from user-service in 9 ms,E1,Users list fetched successfully from user-service in <*> ms
38,2024-11-15,07:22:11.038,info,1731698531038,OK,apigateway,/userslist,10,,Users list fetched successfully from user-service in 10 ms,E1,Users list fetched successfully from user-service in <*> ms
39,2024-11-15,07:22:11.040,info,1731698531040,OK,apigateway,/userslist,11,,Users list fetched successfully from user-service in 11 ms,E1,Users list fetched successfully from user-service in <*> ms
40,2024-11-15,07:22:11.041,info,1731698531041,OK,apigateway,/userslist,10,,Users list fetched successfully from user-service in 10 ms,E1,Users list fetched successfully from user-service in <*> ms
41,2024-11-15,07:22:11.044,info,1731698531044,OK,apigateway,/userslist,12,,Users list fetched successfully from user-service in 12 ms,E1,Users list fetched successfully from user-service in <*> ms
42,2024-11-15,07:22:11.045,info,1731698531045,OK,apigateway,/userslist,12,,Users list fetched successfully from user-service in 12 ms,E1,Users list fetched successfully from user-service in <*> ms
43,2024-11-15,07:22:11.048,info,1731698531048,OK,apigateway,/userslist,13,,Users list fetched successfully from user-service in 13 ms,E1,Users list fetched successfully from user-service in <*> ms
44,2024-11-15,07:22:11.048,info,1731698531048,OK,apigateway,/userslist,10,,Users list fetched successfully from user-service in 10 ms,E1,Users list fetched successfully from user-service in <*> ms
45,2024-11-15,07:22:11.049,info,1731698531049,OK,apigateway,/userslist,10,,Users list fetched successfully from user-service in 10 ms,E1,Users list fetched successfully from user-service in <*> ms
46,2024-11-15,07:22:11.050,info,1731698531050,OK,apigateway,/userslist,9,,Users list fetched successfully from user-service in 9 ms,E1,Users list fetched successfully from user-service in <*> ms
47,2024-11-15,07:22:11.051,info,1731698531051,OK,apigateway,/userslist,9,,Users list fetched successfully from user-service in 9 ms,E1,Users list fetched successfully from user-service in <*> ms
48,2024-11-15,07:22:11.051,info,1731698531051,OK,apigateway,/userslist,8,,Users list fetched successfully from user-service in 8 ms,E1,Users list fetched successfully from user-service in <*> ms
